PID,CRM_PID_Value_Segment,EffectiveSegment,Billing_ZIP,KA_name,Active_subscribers,Not_Active_subscribers,Suspended_subscribers,Total_SUBs,AvgMobileRevenue,AvgFIXRevenue,TotalRevenue,ARPU,CHURN,Billing_ZIP_norm,postal_code,bg_place_count,bg_place_name,bg_admin1_name,bg_admin1_code,bg_admin2_name,bg_admin2_code,bg_admin3_name,bg_admin3_code,bg_latitude,bg_longitude,bg_geo_accuracy,bg_zip_found,bg_distance_sofia_km,bg_distance_plovdiv_km,bg_distance_varna_km,bg_distance_burgas_km,bg_min_big_city_distance_km
123059998,Bronze,SOHO,6000.0,VM,4,2.0,,6,41.17,0.0,41.17,10.29,No,6000,6000,1.0,Stara Zagora,Stara Zagora,SZR,Stara Zagora,SZR31,Unknown,SZR31-00,42.4328,25.6419,4.0,1,192.26171142190228,80.83141300043403,204.70016172235472,149.54972685984384,80.83141300043403
123089411,Bronze,SOHO,9283.0,DI,4,2.0,,6,41.17,0.0,41.17,10.29,No,9283,9283,1.0,Shhipsko,Varna,VAR,Vulchi dol,VAR09,Unknown,VAR09-00,43.3833,27.5333,4.0,1,350.6024870073732,266.5530322517183,36.14743464632922,97.85409500638276,36.14743464632922
113050246,Bronze,SOHO,4000.0,AD,4,,,4,41.17,0.0,41.17,10.29,No,4000,4000,2.0,Plovdiv,Plovdiv,PDV,Marica,PDV17,Vojsil,PDV17-03,42.183350000000004,24.69165,4.0,1,126.11282602967418,6.927035076065666,287.21971441584645,230.50929645602469,6.927035076065666
115013588,Bronze,SOHO,4173.0,AD,5,,,5,41.17,0.0,41.17,8.23,No,4173,4173,1.0,Kalojanovo,Plovdiv,PDV,Kalojanovo,PDV12,Unknown,PDV12-00,42.35,24.7333,4.0,1,121.95335119420115,23.88286839188796,276.82214219424657,224.66221812110064,23.88286839188796
123117298,Iron,SOHO,8900.0,RJ,3,,,3,41.17,0.0,41.17,13.72,No,8900,8900,1.0,Nova Zagora,Sliven,SLV,Nova Zagora,SLV16,Unknown,SLV16-00,42.4833,26.0167,4.0,1,221.87844065252105,111.474560071734,174.76461265030358,118.57099481501174,111.474560071734
102756855,Bronze,SOHO,6155.0,VM,3,,,3,41.33,0.0,41.33,13.78,No,6155,6155,1.0,Pavel banja,Stara Zagora,SZR,Pavel banja,SZR24,Unknown,SZR24-00,42.6,25.2,4.0,1,153.98288461051476,63.75185198685431,231.39238472954253,185.63230629937252,63.75185198685431
112111244,Iron,SOHO,4400.0,MT,2,,,2,41.33,0.0,41.33,20.67,No,4400,4400,1.0,Pazardzhik,Pazardzhik,PAZ,Pazardzhik,PAZ19,Unknown,PAZ19-00,42.2,24.3333,4.0,1,99.74365653985194,34.70675472453587,313.5754291926386,259.3578863477639,34.70675472453587
112629607,Iron,SOHO,4400.0,MT,3,,,3,41.33,0.0,41.33,13.78,No,4400,4400,1.0,Pazardzhik,Pazardzhik,PAZ,Pazardzhik,PAZ19,Unknown,PAZ19-00,42.2,24.3333,4.0,1,99.74365653985194,34.70675472453587,313.5754291926386,259.3578863477639,34.70675472453587
126734116,Iron,SOHO,6310.0,RJ,4,,,4,41.33,0.0,41.33,10.33,No,6310,6310,1.0,Klokotnica,Khaskovo,HKV,Khaskovo,HKV34,Klokotnica,HKV34-14,41.9833,25.5,4.0,1,195.84391276111919,64.56004697978028,240.38938922753545,171.6406392732567,64.56004697978028
40578948,Bronze,SOHO,4400.0,MT,3,1.0,,4,41.5,0.0,41.5,13.83,No,4400,4400,1.0,Pazardzhik,Pazardzhik,PAZ,Pazardzhik,PAZ19,Unknown,PAZ19-00,42.2,24.3333,4.0,1,99.74365653985194,34.70675472453587,313.5754291926386,259.3578863477639,34.70675472453587
112668357,Bronze,SOHO,4400.0,MT,2,1.0,,3,41.5,0.0,41.5,20.75,No,4400,4400,1.0,Pazardzhik,Pazardzhik,PAZ,Pazardzhik,PAZ19,Unknown,PAZ19-00,42.2,24.3333,4.0,1,99.74365653985194,34.70675472453587,313.5754291926386,259.3578863477639,34.70675472453587
112531322,Bronze,SOHO,4468.0,MT,2,,,2,41.67,0.0,41.67,20.84,No,4468,4468,1.0,Momina klisura,Pazardzhik,PAZ,Belovo,PAZ04,Momina klisura,PAZ04-05,42.2167,23.9667,4.0,1,75.22452938557296,64.79398154354345,341.03890175086207,288.99629392800875,64.79398154354345
115535522,Bronze,SOHO,4023.0,VU,1,2.0,,3,41.67,0.0,41.67,41.67,No,4023,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,0,,,,,
200063700,Bronze,SOHO,4023.0,AD,3,4.0,,7,41.67,0.0,41.67,13.89,No,4023,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,0,,,,,
112065619,Bronze,SOHO,4400.0,MT,4,,,4,41.83,0.0,41.83,10.46,No,4400,4400,1.0,Pazardzhik,Pazardzhik,PAZ,Pazardzhik,PAZ19,Unknown,PAZ19-00,42.2,24.3333,4.0,1,99.74365653985194,34.70675472453587,313.5754291926386,259.3578863477639,34.70675472453587
115064287,Bronze,SOHO,4000.0,AD,3,7.0,,10,41.83,0.0,41.83,13.94,No,4000,4000,2.0,Plovdiv,Plovdiv,PDV,Marica,PDV17,Vojsil,PDV17-03,42.183350000000004,24.69165,4.0,1,126.11282602967418,6.927035076065666,287.21971441584645,230.50929645602469,6.927035076065666
115048436,Bronze,SOHO,4013.0,AD,2,1.0,,3,41.83,0.0,41.83,20.92,No,4013,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,0,,,,,
123744482,Bronze,SOHO,6000.0,AD?,2,,1.0,3,41.83,0.0,41.83,20.92,No,6000,6000,1.0,Stara Zagora,Stara Zagora,SZR,Stara Zagora,SZR31,Unknown,SZR31-00,42.4328,25.6419,4.0,1,192.26171142190228,80.83141300043403,204.70016172235472,149.54972685984384,80.83141300043403
112606512,Bronze,SOHO,4400.0,MT,3,,,3,42.0,0.0,42.0,14.0,No,4400,4400,1.0,Pazardzhik,Pazardzhik,PAZ,Pazardzhik,PAZ19,Unknown,PAZ19-00,42.2,24.3333,4.0,1,99.74365653985194,34.70675472453587,313.5754291926386,259.3578863477639,34.70675472453587
115063993,Bronze,SOHO,4004.0,VT,4,,,4,42.0,0.0,42.0,10.5,No,4004,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,0,,,,,
115090638,Bronze,SOHO,4000.0,VT,5,2.0,,7,42.0,0.0,42.0,8.4,Yes,4000,4000,2.0,Plovdiv,Plovdiv,PDV,Marica,PDV17,Vojsil,PDV17-03,42.183350000000004,24.69165,4.0,1,126.11282602967418,6.927035076065666,287.21971441584645,230.50929645602469,6.927035076065666
115271994,Iron,SOHO,4004.0,VT,5,1.0,,6,42.0,0.0,42.0,8.4,No,4004,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,0,,,,,
202395548,Iron,SOHO,4000.0,VT,5,,,5,42.0,0.0,42.0,8.4,No,4000,4000,2.0,Plovdiv,Plovdiv,PDV,Marica,PDV17,Vojsil,PDV17-03,42.183350000000004,24.69165,4.0,1,126.11282602967418,6.927035076065666,287.21971441584645,230.50929645602469,6.927035076065666
123011010,Iron,SOHO,6100.0,DI,5,1.0,,6,42.0,0.0,42.0,8.4,No,6100,6100,1.0,Kazanluk,Stara Zagora,SZR,Kazanluk,SZR12,Unknown,SZR12-00,42.6167,25.4,4.0,1,170.1709917630914,75.87065506274772,215.27795996537586,169.38401939323634,75.87065506274772
123555446,Iron,SOHO,6000.0,AD?,5,1.0,,6,42.0,0.0,42.0,8.4,No,6000,6000,1.0,Stara Zagora,Stara Zagora,SZR,Stara Zagora,SZR31,Unknown,SZR31-00,42.4328,25.6419,4.0,1,192.26171142190228,80.83141300043403,204.70016172235472,149.54972685984384,80.83141300043403
115018681,Bronze,SOHO,4023.0,AD,3,,,3,42.17,0.0,42.17,14.06,No,4023,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,0,,,,,
40967650,Bronze,SOHO,4400.0,MT,3,1.0,,4,42.17,0.0,42.17,14.06,Yes,4400,4400,1.0,Pazardzhik,Pazardzhik,PAZ,Pazardzhik,PAZ19,Unknown,PAZ19-00,42.2,24.3333,4.0,1,99.74365653985194,34.70675472453587,313.5754291926386,259.3578863477639,34.70675472453587
40184280,Bronze,SOHO,6091.0,DI,5,,,5,42.17,0.0,42.17,8.43,No,6091,6091,1.0,Petrovo,Stara Zagora,SZR,Stara Zagora,SZR31,Petrovo,SZR31-33,42.2833,25.6333,4.0,1,195.0350235611823,74.96284999110382,213.09688655619516,152.2251145121061,74.96284999110382
115301494,Bronze,SOHO,4144.0,VU,3,,,3,42.33,0.0,42.33,14.11,No,4144,4144,1.0,Borec,Plovdiv,PDV,Brezovo,PDV07,Borec,PDV07-02,42.3333,24.9333,4.0,1,138.14545796873878,26.90359600257005,262.2970851415843,208.49007069994732,26.90359600257005
201011443,Bronze,SOHO,6260.0,VM,5,,,5,42.33,0.0,42.33,8.47,No,6260,6260,2.0,Ovcharci,Stara Zagora,SZR,Radnevo,SZR27,Unknown,SZR27-00,42.25835,26.0,4.0,1,224.98878715372217,104.25865984640127,189.06228498734535,123.21720018417498,104.25865984640127
123108370,Silver,VSE,6000.0,DI,3,1.0,,4,42.33,0.0,42.33,14.11,No,6000,6000,1.0,Stara Zagora,Stara Zagora,SZR,Stara Zagora,SZR31,Unknown,SZR31-00,42.4328,25.6419,4.0,1,192.26171142190228,80.83141300043403,204.70016172235472,149.54972685984384,80.83141300043403
123522019,Bronze,SOHO,6000.0,DI,5,,,5,42.33,0.0,42.33,8.47,No,6000,6000,1.0,Stara Zagora,Stara Zagora,SZR,Stara Zagora,SZR31,Unknown,SZR31-00,42.4328,25.6419,4.0,1,192.26171142190228,80.83141300043403,204.70016172235472,149.54972685984384,80.83141300043403
112660093,Iron,SOHO,4550.0,MT,1,4.0,,5,42.33,0.0,42.33,42.33,No,4550,4550,1.0,Peshhera,Pazardzhik,PAZ,Peshhera,PAZ21,Unknown,PAZ21-00,42.0333,24.3,4.0,1,109.15625825691836,38.46176483175916,323.5492970384987,265.44190202890354,38.46176483175916
160090583,Bronze,SOHO,4225.0,AD,3,3.0,,6,42.33,0.0,42.33,14.11,No,4225,4225,1.0,Perushhica,Plovdiv,PDV,Perushhica,PDV40,Unknown,PDV40-00,42.05,24.55,4.0,1,123.9520724004776,18.704648017242445,304.14471828136334,244.89222270180184,18.704648017242445
126620550,Bronze,SOHO,6400.0,AD?,4,2.0,,6,42.33,0.0,42.33,10.58,No,6400,6400,1.0,Dimitrovgrad,Khaskovo,HKV,Dimitrovgrad,HKV09,Unknown,HKV09-00,42.05,25.6,4.0,1,200.51034202353338,71.16037599980346,229.36071356275139,161.36595796695596,71.16037599980346
200364625,Bronze,SOHO,6260.0,AD?,2,,,2,42.33,0.0,42.33,21.17,No,6260,6260,2.0,Ovcharci,Stara Zagora,SZR,Radnevo,SZR27,Unknown,SZR27-00,42.25835,26.0,4.0,1,224.98878715372217,104.25865984640127,189.06228498734535,123.21720018417498,104.25865984640127
459135,Bronze,SOHO,4150.0,AD,4,,,4,42.5,0.0,42.5,10.63,No,4150,4150,1.0,Rakovski,Plovdiv,PDV,Rakovski,PDV25,Unknown,PDV25-00,42.3,24.9667,4.0,1,141.90887033993675,25.834256686772648,261.2481304086356,206.19039367168793,25.834256686772648
200461615,Silver,VSE,4000.0,AD,2,6.0,,8,42.5,0.0,42.5,21.25,No,4000,4000,2.0,Plovdiv,Plovdiv,PDV,Marica,PDV17,Vojsil,PDV17-03,42.183350000000004,24.69165,4.0,1,126.11282602967418,6.927035076065666,287.21971441584645,230.50929645602469,6.927035076065666
345306,Iron,VSE,4400.0,MT,1,33.0,,34,42.5,0.0,42.5,42.5,No,4400,4400,1.0,Pazardzhik,Pazardzhik,PAZ,Pazardzhik,PAZ19,Unknown,PAZ19-00,42.2,24.3333,4.0,1,99.74365653985194,34.70675472453587,313.5754291926386,259.3578863477639,34.70675472453587
115214908,Bronze,SOHO,4002.0,VU,1,4.0,,5,42.5,0.0,42.5,42.5,No,4002,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,0,,,,,
201005397,Lead,SOHO,4000.0,VT,3,,,3,42.5,0.0,42.5,14.17,No,4000,4000,2.0,Plovdiv,Plovdiv,PDV,Marica,PDV17,Vojsil,PDV17-03,42.183350000000004,24.69165,4.0,1,126.11282602967418,6.927035076065666,287.21971441584645,230.50929645602469,6.927035076065666
833044115,Bronze,SOHO,6001.0,VM,4,1.0,,5,42.5,0.0,42.5,10.63,No,6001,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,0,,,,,
115023618,Bronze,SOHO,4023.0,AD,5,4.0,,9,42.5,0.0,42.5,8.5,No,4023,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,0,,,,,
123161800,Bronze,SOHO,6000.0,AD?,3,3.0,,6,42.5,0.0,42.5,14.17,No,6000,6000,1.0,Stara Zagora,Stara Zagora,SZR,Stara Zagora,SZR31,Unknown,SZR31-00,42.4328,25.6419,4.0,1,192.26171142190228,80.83141300043403,204.70016172235472,149.54972685984384,80.83141300043403
115539937,Bronze,SOHO,4223.0,VU,3,2.0,,5,42.67,0.0,42.67,14.22,No,4223,4223,1.0,Kurtovo Konare,Plovdiv,PDV,Stambolijski,PDV41,Kurtovo Konare,PDV41-02,42.1,24.5,4.0,1,117.36686657044424,20.611913234135134,305.45276077495413,247.75358740178504,20.611913234135134
123510604,Bronze,SOHO,6000.0,DI,4,3.0,,7,42.67,0.0,42.67,10.67,No,6000,6000,1.0,Stara Zagora,Stara Zagora,SZR,Stara Zagora,SZR31,Unknown,SZR31-00,42.4328,25.6419,4.0,1,192.26171142190228,80.83141300043403,204.70016172235472,149.54972685984384,80.83141300043403
126504873,Bronze,SOHO,6300.0,RJ,3,,,3,42.67,0.0,42.67,14.22,Yes,6300,6300,1.0,Khaskovo,Khaskovo,HKV,Khaskovo,HKV34,Unknown,HKV34-00,41.9403,25.5694,4.0,1,203.06388911981904,71.43171336079055,238.60242154282636,168.05162923163843,71.43171336079055
40886248,Bronze,SOHO,4600.0,VU,4,1.0,,5,42.83,0.0,42.83,10.71,Yes,4600,4600,1.0,Velingrad,Pazardzhik,PAZ,Velingrad,PAZ08,Unknown,PAZ08-00,42.0167,24.0,4.0,1,94.01322360719992,62.91327869652514,346.8627109139799,290.0533176674631,62.91327869652514
344930,Bronze,SOHO,4400.0,MT,4,1.0,,5,42.83,0.0,42.83,10.71,No,4400,4400,1.0,Pazardzhik,Pazardzhik,PAZ,Pazardzhik,PAZ19,Unknown,PAZ19-00,42.2,24.3333,4.0,1,99.74365653985194,34.70675472453587,313.5754291926386,259.3578863477639,34.70675472453587
30125390,Bronze,SOHO,4002.0,VT,3,,,3,42.83,0.0,42.83,14.28,No,4002,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,0,,,,,
123502269,Bronze,SOHO,6200.0,VM,3,2.0,,5,42.83,0.0,42.83,14.28,No,6200,6200,1.0,Chirpan,Stara Zagora,SZR,Chirpan,SZR36,Unknown,SZR36-00,42.2,25.3333,4.0,1,174.05897896037825,48.98987248530403,239.15927970631836,178.22170035444339,48.98987248530403
115134472,Bronze,SOHO,4000.0,AD,1,5.0,,6,43.0,0.0,43.0,43.0,No,4000,4000,2.0,Plovdiv,Plovdiv,PDV,Marica,PDV17,Vojsil,PDV17-03,42.183350000000004,24.69165,4.0,1,126.11282602967418,6.927035076065666,287.21971441584645,230.50929645602469,6.927035076065666
201951958,Bronze,SOHO,4023.0,AD,2,,,2,43.0,0.0,43.0,21.5,No,4023,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,0,,,,,
202151120,Bronze,SOHO,4000.0,AD,3,,,3,43.0,0.0,43.0,14.33,No,4000,4000,2.0,Plovdiv,Plovdiv,PDV,Marica,PDV17,Vojsil,PDV17-03,42.183350000000004,24.69165,4.0,1,126.11282602967418,6.927035076065666,287.21971441584645,230.50929645602469,6.927035076065666
115138307,Bronze,SOHO,4000.0,VT,1,6.0,,7,43.0,0.0,43.0,43.0,No,4000,4000,2.0,Plovdiv,Plovdiv,PDV,Marica,PDV17,Vojsil,PDV17-03,42.183350000000004,24.69165,4.0,1,126.11282602967418,6.927035076065666,287.21971441584645,230.50929645602469,6.927035076065666
123740142,Bronze,SOHO,6000.0,DI,4,,,4,43.0,0.0,43.0,10.75,No,6000,6000,1.0,Stara Zagora,Stara Zagora,SZR,Stara Zagora,SZR31,Unknown,SZR31-00,42.4328,25.6419,4.0,1,192.26171142190228,80.83141300043403,204.70016172235472,149.54972685984384,80.83141300043403
123700429,Bronze,SOHO,6000.0,AD?,1,1.0,,2,43.0,0.0,43.0,43.0,No,6000,6000,1.0,Stara Zagora,Stara Zagora,SZR,Stara Zagora,SZR31,Unknown,SZR31-00,42.4328,25.6419,4.0,1,192.26171142190228,80.83141300043403,204.70016172235472,149.54972685984384,80.83141300043403
115639179,Bronze,SOHO,4004.0,AD,4,2.0,,6,43.17,0.0,43.17,10.79,No,4004,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,0,,,,,
115225274,Iron,SOHO,4220.0,VT,4,1.0,,5,43.17,0.0,43.17,10.79,No,4220,4220,1.0,Krichim,Plovdiv,PDV,Krichim,PDV39,Unknown,PDV39-00,42.05,24.4667,4.0,1,118.44984758263543,24.87234534997421,310.32328514187594,251.60073133952716,24.87234534997421
123754505,Iron,SOHO,6100.0,DI,6,,,6,43.17,0.0,43.17,7.2,No,6100,6100,1.0,Kazanluk,Stara Zagora,SZR,Kazanluk,SZR12,Unknown,SZR12-00,42.6167,25.4,4.0,1,170.1709917630914,75.87065506274772,215.27795996537586,169.38401939323634,75.87065506274772
160081805,Iron,SOHO,4023.0,AD,4,,,4,43.17,0.0,43.17,10.79,No,4023,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,0,,,,,
